Site,Link,Name,Author,Publisher,Year,Language
grenka.ua,https://grenka.ua/316981/listya-travy,Листья травы,Уолт Уитмен,Иностранка,,Russian
grenka.ua,https://grenka.ua/316979/graf-monte-kristo-komplekt-v-2-kh-tomakh,Граф Монте-Кристо (комплект в 2-х томах),Александр Дюма,Иностранка,,Russian
grenka.ua,https://grenka.ua/316975/zhivotnye-i-rasteniya-morya,Животные и растения моря,Камилла Де Ла Бедуайер,Махаон,,Russian
grenka.ua,https://grenka.ua/316951/yak-bazhaye-zhinka-pravda-pro-seksualne-zdorov-ya,Як бажає жінка. Правда про сексуальне здоров’я,Эмили Нагоски,"Книжный клуб ""Клуб семейного досуга""",,Ukrainian
grenka.ua,https://grenka.ua/316921/vo-vsem-vinovata-kniga-2,Во всем виновата книга-2,Группа авторов,Азбука,,Russian
grenka.ua,https://grenka.ua/316891/podarochnyj-superkomplekt-dlya-knigolyuba-kniga-kak-chitat-i-ponimat-klassiku-skretch-poster-100-del-books-edition-rus,Подарочный суперкомплект для книголюба: книга 'Как читать и понимать классику' + скретч-постер #100 дел Books edition (рус),Евгений Жаринов,АСТ,,Russian
grenka.ua,https://grenka.ua/316883/devyat-sovsem-neznakomykh-lyudej,Девять совсем незнакомых людей,Лиана Мориарти,Азбука,,Russian
grenka.ua,https://grenka.ua/316841/shestoe-vymiranie,Шестое вымирание,Элизабет Колберт,АСТ,,Russian
grenka.ua,https://grenka.ua/316227/kak-stat-blogerom-s-millionnoj-auditoriej-sozdat-uspeshnyj-startap-pokorit-ameriku-esli-ty-devochka-iz-obychnoj-semi,"Как стать блогером с миллионной аудиторией, создать успешный стартап, покорить Америку, если ты девочка из обычной семьи",Марина Могилко,Форс,2019,Russian
grenka.ua,https://grenka.ua/315593/mashina-vremeni-vojna-mirov,Машина времени. Война миров,Герберт Уэллс,Речь,,Russian
grenka.ua,https://grenka.ua/315529/bozhestvenna-komediya-superkomplekt-z-3-knig,Божественна комедія (суперкомплект з 3 книг),Данте Аліг'єрі,Астролябія,2017,Ukrainian
grenka.ua,https://grenka.ua/315379/smert-ehkspertizy-kak-internet-ubivaet-nauchnye-znaniya,Смерть экспертизы. Как интернет убивает научные знания,Том Николс,Форс,2019,Russian
grenka.ua,https://grenka.ua/315089/krugom-odni-psikhopaty-kto-oni-takie-i-kak-ne-poddavatsya-na-ikh-manipulyatsii,Кругом одни психопаты. Кто они такие и как не поддаваться на их манипуляции?,Томас Эриксон,Форс,2019,Russian
grenka.ua,https://grenka.ua/314741/bts-i-ya-fanbuk,BTS и я. Фанбук,"Анна Семенова, Эдриан Бесли",Форс,2019,Russian
grenka.ua,https://grenka.ua/314641/napoleonov-oboz-kniga-3-angelskij-rozhok,Наполеонов обоз. Книга 3: Ангельский рожок,Дина Рубина,Форс,2019,Russian
grenka.ua,https://grenka.ua/314609/vidmak-superkomplekt-iz-8-knig,Відьмак (суперкомплект із 8 книг),Анджей Сапковський,"Книжный клуб ""Клуб семейного досуга""",2017,Ukrainian
grenka.ua,https://grenka.ua/314549/odnogo-raza-nedostatochno,Одного раза недостаточно,Жаклин Сьюзанн,Азбука,,Russian
grenka.ua,https://grenka.ua/314545/zemlya-mertvykh,Земля мертвых,Жан-Кристоф Гранже,Азбука,,Russian
grenka.ua,https://grenka.ua/314465/shhodenniki-vishenki-zavmerlij-zoopark-tom-1,Щоденники Вишеньки. Завмерлий зоопарк. Том 1,Жорис Шамблен,Nasha Idea,2019,Ukrainian
