Site,Link,Name,Author,Publisher,Year,Language
yakaboo.ua,https://www.yakaboo.ua/ua/county-cup-7-cup-winners.html,County Cup (7): Cup Winners,Роб Чайлдс,Corgi Books,2009,English
yakaboo.ua,https://www.yakaboo.ua/ua/county-cup-6-cup-fever.html,County Cup (6): Cup Fever,Роб Чайлдс,Corgi Books,2009,English
yakaboo.ua,https://www.yakaboo.ua/ua/bear-grylls-epic-adventures-series-epic-climbs.html,Bear Grylls Epic Adventures Series - Epic Climbs,Беар Гріллс,Everything,2017,English
yakaboo.ua,https://www.yakaboo.ua/ua/county-cup-3-cup-shocks.html,County Cup (3): Cup Shocks,Роб Чайлдс,Corgi Books,2009,English
yakaboo.ua,https://www.yakaboo.ua/ua/arnhem-the-battle-for-survival.html,Arnhem. The Battle for Survival,"Джон Ніколь, Тоні Реннел",Penguin,2012,English
yakaboo.ua,https://www.yakaboo.ua/ua/bear-grylls-epic-adventure-series-epic-expeditions.html,Bear Grylls Epic Adventure Series - Epic Expeditions,Беар Гріллс,Everything,2017,English
yakaboo.ua,https://www.yakaboo.ua/ua/the-blessing-1907187.html,The Blessing,Ненсі Мітфорд,Penguin,2016,English
yakaboo.ua,https://www.yakaboo.ua/ua/philadelphia-and-the-pennsylvania-dutch-country.html,Philadelphia and the Pennsylvania Dutch Country,,DK (Dorling Kindersley),2017,English
yakaboo.ua,https://www.yakaboo.ua/ua/the-book-of-the-banshee.html,The Book Of The Banshee,Енн Файн,Corgi Books,2014,English
yakaboo.ua,https://www.yakaboo.ua/ua/bear-grylls-sticker-activity-woodlands.html,Bear Grylls Sticker Activity: Woodlands,Беар Гріллс,Everything,2020,English
yakaboo.ua,https://www.yakaboo.ua/ua/peru-2079708.html,Peru,,DK (Dorling Kindersley),2019,English
yakaboo.ua,https://www.yakaboo.ua/ua/the-classic-plays.html,The Classic Plays,Артур Міллер,Penguin,2015,English
yakaboo.ua,https://www.yakaboo.ua/ua/morocco.html,Morocco,,DK (Dorling Kindersley),2019,English
yakaboo.ua,https://www.yakaboo.ua/ua/county-cup-4-cup-clashes.html,County Cup (4): Cup Clashes,Роб Чайлдс,Corgi Books,2009,English
yakaboo.ua,https://www.yakaboo.ua/ua/lola-rose.html,Lola Rose,Жаклін Уілсон,Corgi Books,2007,English
yakaboo.ua,https://www.yakaboo.ua/ua/the-wedding-trap-a-rouge-regency-romance.html,The Wedding Trap: A Rouge Regency Romance,Трейсі Енн Уоррен,Ebury Press,2012,English
yakaboo.ua,https://www.yakaboo.ua/ua/every-three-hours.html,Every Three Hours,Кріс Муні,Penguin,2016,English
yakaboo.ua,https://www.yakaboo.ua/ua/plutanina-poseredini-vid-startapu-do-uspihu-jak-ne-shibiti-posered-shljahu.html,"Плутанина посередині. Від стартапу - до успіху, як не схибити посеред шляху",Скотт Белскі,ArtHuss,2020,Ukrainian
yakaboo.ua,https://www.yakaboo.ua/ua/the-angel-collector.html,The Angel Collector,Балі Рай,Corgi Books,2018,English
yakaboo.ua,https://www.yakaboo.ua/ua/estonia-latvia-and-lithuania.html,"Estonia, Latvia and Lithuania",,DK (Dorling Kindersley),2017,English
yakaboo.ua,https://www.yakaboo.ua/ua/how-to-be-a-brit.html,How to be a Brit,Джордж Майкс,Penguin,2017,English
yakaboo.ua,https://www.yakaboo.ua/ua/sila-komiksiv-istorija-forma-j-kul-tura.html,"Сила коміксів. Історія, форма й культура","Пол Левіц, Метью Сміт, Ренді Данкан",ArtHuss,2020,Ukrainian
yakaboo.ua,https://www.yakaboo.ua/ua/fear-the-dark.html,Fear the Dark,Кріс Муні,Penguin,2015,English
yakaboo.ua,https://www.yakaboo.ua/ua/the-penguin-dictionary-of-jokes.html,The Penguin Dictionary of Jokes,Фред Меткальф,Penguin,2009,English
yakaboo.ua,https://www.yakaboo.ua/ua/your-wedding-your-way.html,Your Wedding Your Way,Софі Вінченці,Ebury Press,2009,English
yakaboo.ua,https://www.yakaboo.ua/ua/tyringham-park.html,Tyringham Park,Розмарі МакЛафлін,Penguin,2013,English
yakaboo.ua,https://www.yakaboo.ua/ua/konkurentna-strategija-tehniki-analizu-galuzej-i-konkurentiv.html,"Конкурентна стратегія. Техніки аналізу галузей і конкурентів
Competitive Strategy: Techniques for Analyzing Industries and Competitors",Майкл Портер,Наш Формат,2020,Ukrainian
yakaboo.ua,https://www.yakaboo.ua/ua/subliminal-the-new-unconscious-and-what-it-teaches-us.html,Subliminal. The New Unconscious and What it Teaches Us,Леонард Млодінов,Penguin,2014,English
yakaboo.ua,https://www.yakaboo.ua/ua/samovidnovlennja-mozku.html,"Самовідновлення мозку
The Brain's Way of Healing: Remarkable Discoveries and Recoveries from the Frontiers of Neuroplasticity",Норман Дойдж,Наш Формат,2020,Ukrainian
yakaboo.ua,https://www.yakaboo.ua/ua/washington-black.html,Washington Black,Эсі Эдугян,Random House,2018,English
yakaboo.ua,https://www.yakaboo.ua/ua/everything-but-the-truth.html,Everything but the Truth,Джилліан Макаллистер,Penguin,2017,English
yakaboo.ua,https://www.yakaboo.ua/ua/lola-s-secret.html,Lola's Secret,Моніка МакІнерні,Penguin,2017,English
yakaboo.ua,https://www.yakaboo.ua/ua/this-is-a-book.html,This Is a Book,Деметрій Мартін,Penguin,2012,English
yakaboo.ua,https://www.yakaboo.ua/ua/the-ring-of-bright-water-trilogy.html,The Ring of Bright Water Trilogy,Гевін Максвелл,Penguin,2001,English
yakaboo.ua,https://www.yakaboo.ua/ua/ask-again-yes.html,"Ask Again, Yes",Мері Бет Кін,Penguin,2020,English
yakaboo.ua,https://www.yakaboo.ua/ua/a-bear-grylls-adventure-5-the-river-challenge.html,A Bear Grylls Adventure 5: The River Challenge,Беар Гріллс,Everything,2019,English
yakaboo.ua,https://www.yakaboo.ua/ua/strange-pilgrims.html,Strange Pilgrims,Ґабріель Ґарсія Маркес,Penguin,2004,English
yakaboo.ua,https://www.yakaboo.ua/ua/embers-1907052.html,"Embers
A gyertyák csonkig égnek",Шандор Мараї,Penguin,2016,English
yakaboo.ua,https://www.yakaboo.ua/ua/knigi/knigi-na-inostrannyh-jazykah/anglijskij/office-politics-how-work-really-works.html,Office Politics: How work really works,Гай Браунінг,Ebury Press,2013,English
yakaboo.ua,https://www.yakaboo.ua/ua/fleishman-is-in-trouble.html,Fleishman Is in Trouble,Таффі Бродессер-Акнер,Headline Publishing Group,2019,English
yakaboo.ua,https://www.yakaboo.ua/ua/you-don-t-know-me.html,You Don't Know Me,Імран Махмуд,Penguin,2018,English
yakaboo.ua,https://www.yakaboo.ua/ua/an-american-marriage.html,An American Marriage,Таярі Джонс,Oneworld Publications,2019,English
yakaboo.ua,https://www.yakaboo.ua/ua/a-history-of-the-middle-east-1907048.html,A History of the Middle East,Пітер Мансфілд,Penguin,2013,English
yakaboo.ua,https://www.yakaboo.ua/ua/rozpovimo-ditjam-pro-transport.html,Розповімо дітям про транспорт,,Ранок,2018,Ukrainian
yakaboo.ua,https://www.yakaboo.ua/ua/sherlock-holmes-the-man-who-never-lived-and-will-never-die.html,Sherlock Holmes: The Man Who Never Lived And Will Never Die,Алекс Вернер,Ebury Press,2014,English
yakaboo.ua,https://www.yakaboo.ua/ua/before-we-were-yours.html,Before We Were Yours,Ліза Вінгейт,Quercus Publishing Plc,2018,English
yakaboo.ua,https://www.yakaboo.ua/ua/rozpovimo-ditjam-pro-ovochi-frukti-jagodi.html,"Розповімо дітям про овочі, фрукти, ягоди",,Ранок,2018,Ukrainian
yakaboo.ua,https://www.yakaboo.ua/ua/katie-price-s-perfect-ponies-wild-west-weekend.html,Katie Price's Perfect Ponies: Wild West Weekend,Кеті Прайс,Random House,2013,English
yakaboo.ua,https://www.yakaboo.ua/ua/lincoln-in-the-bardo.html,Lincoln in the Bardo,Джордж Сондерс,Bloomsbury,2017,English
yakaboo.ua,https://www.yakaboo.ua/ua/rozpovimo-ditjam-pro-zhittevij-cikl-zhivih-organizmiv.html,Розповімо дітям про життєвий цикл живих організмів,,Ранок,2019,Ukrainian
