Site,Link,Name,Author,Publisher,Year,Language
yakaboo.ua,https://www.yakaboo.ua/ua/knigi/knigi-na-inostrannyh-jazykah/ukrainskij/kiz-d-kviti-dlja-eldzhernona.html,"Квіти для Елджернона
Flowers for Algernon",Деніел Кіз,"Книжковий клуб ""Клуб Сімейного Дозвілля""",2015,Ukrainian
yakaboo.ua,https://www.yakaboo.ua/ua/zno-2020-ukrains-ka-mova-i-literatura-tipovi-testovi-zavdannja.html,ЗНО 2020. Українська мова і література. Типові тестові завдання,"Олександр Заболотний, Віктор Заболотний",Літера ЛТД,2019,Ukrainian
yakaboo.ua,https://www.yakaboo.ua/ua/charlie-and-the-chocolate-factory.html,"Чарлі і шоколадна фабрика
Charlie and the Chocolate Factory",Роальд Дал,А-ба-ба-га-ла-ма-га,2009,Ukrainian
yakaboo.ua,https://www.yakaboo.ua/ua/montessori-150-zanjatij-s-malyshom-doma-1884594.html,Монтессори. 150 занятий с малышом дома,Сильви Д`Эсклеб,Форс,2019,Russian
yakaboo.ua,https://www.yakaboo.ua/ua/sila-voli-shljah-do-vladi-nad-soboju.html,"Сила волі. Шлях до влади над собою
The Willpower Instinct: How Self-Control Works, Why It Matters, and What You Can Do to Get More of It",Келлі Макгонігал,Наш Формат,2017,Ukrainian
yakaboo.ua,https://www.yakaboo.ua/ua/becoming-moja-istorija.html,Becoming. Моя история,Мішель Обама,Форс,2019,Russian
yakaboo.ua,https://www.yakaboo.ua/ua/ljudina-v-poshukah-spravzhn-ogo-sensu-psiholog-u-konctabori.html,"Людина в пошуках справжнього сенсу. Психолог у концтаборі
Man's Search For Meaning: The Classic Tribute To Hope From The Holocaust",Вiктор Франкл,"Книжковий клуб ""Клуб Сімейного Дозвілля""",2016,Ukrainian
yakaboo.ua,https://www.yakaboo.ua/ua/rizdvozavr-ta-zimova-vid-ma.html,"Різдвозавр та Зимова Відьма
The Christmasaurus and the Winter Witch",Том Флетчер,Видавництво Старого Лева,2019,Ukrainian
yakaboo.ua,https://www.yakaboo.ua/ua/zhestkij-menedzhment-zastav-te-ljudej-rabotat-na-rezul-tat-2100223.html,"Жесткий менеджмент. Заставьте людей работать на результат
No B.S. Ruthless Management of People and Profits: The Ultimate, No Holds Barred, Kick Butt, Take No Prisoners Guide to Really Getting Rich",Ден С. Кеннеді,Альпіна Паблішер,2020,Russian
yakaboo.ua,https://www.yakaboo.ua/ua/charli-i-velikij-skljanij-lift.html,"Чарлі і великий скляний ліфт
Charlie and the Great Glass Elevator",Роальд Дал,А-ба-ба-га-ла-ма-га,2019,Ukrainian
yakaboo.ua,https://www.yakaboo.ua/ua/zno-2020-angljs-ka-mova-kompleksne-vidannja.html,ЗНО 2020. Англійська мова. Комплексне видання,"Світлана Мясоєдова, Оксана Ходаковська, Юлія Чернишева",Літера ЛТД,2019,Ukrainian
