Site,Link,Name,Author,Publisher,Year,Language
bukva.ua,https://bukva.ua/ua/catalog/browse/364/1/754667,Маленькі жінки. Частина 2,Луїза Мей Олкотт,Фоліо,2019,Ukrainian
bukva.ua,https://bukva.ua/ua/catalog/browse/535/1/754666,П'єси,Альбер Камю,Фоліо,2019,Ukrainian
bukva.ua,https://bukva.ua/ua/catalog/browse/341/1/754664,Український правопис,,Фоліо,2019,Ukrainian
bukva.ua,https://bukva.ua/ua/catalog/browse/390/1/754656,The Giraffe and Pelly Me and Me,Роальд Дал,Puffin,2016,English
bukva.ua,https://bukva.ua/ua/catalog/browse/390/1/754654,21 Lessons for the 21st Century,Ювал Ной Харарі,Vintage,2019,English
bukva.ua,https://bukva.ua/ua/catalog/browse/390/1/754653,Fantastic Mr Fox,Роальд Дал,Puffin,,English
bukva.ua,https://bukva.ua/ua/catalog/browse/390/1/754652,The Enormous Crocodile,Роальд Дал,Puffin,2016,English
bukva.ua,https://bukva.ua/ua/catalog/browse/390/1/754651,Harry Potter and the Chamber of Secrets,Джоан Роулінг,Bloomsbury Children's Books,2016,English
bukva.ua,https://bukva.ua/ua/catalog/browse/390/1/754650,Harry Potter and the Philosopher's Stone,Джоан Роулінг,Bloomsbury Children's Books,2017,English
bukva.ua,https://bukva.ua/ua/catalog/browse/390/1/754649,Harry Potter and the Philosopher's Stone (Gryffindor Edition),Джоан Роулінг,Bloomsbury Children's Books,2017,English
bukva.ua,https://bukva.ua/ua/catalog/browse/390/1/754648,Harry Potter and the Philosopher's Stone,Джоан Роулінг,Bloomsbury Children's Books,2017,English
bukva.ua,https://bukva.ua/ua/catalog/browse/390/1/754647,Harry Potter and the Philosopher's Stone,Джоан Роулінг,Bloomsbury Children's Books,2017,English
bukva.ua,https://bukva.ua/ua/catalog/browse/390/1/754646,Harry Potter and the Philosopher's Stone,Джоан Роулінг,Bloomsbury Children's Books,2017,English
